iter	Passed	Remaining
707	37225	15352
708	37297	15308
709	37344	15253
710	37392	15198
711	37438	15143
712	37482	15087
713	37526	15031
714	37571	14976
715	37623	14923
716	37668	14867
717	37718	14814
718	37787	14768
719	37840	14715
720	37890	14662
721	37936	14607
722	37980	14551
723	38048	14504
724	38096	14450
725	38149	14398
726	38194	14342
727	38256	14293
728	38304	14239
729	38359	14187
730	38410	14134
731	38468	14084
732	38522	14032
733	38574	13979
734	38649	13934
735	38710	13885
736	38759	13831
737	38811	13778
738	38867	13727
739	38912	13671
740	38981	13624
741	39043	13575
742	39097	13523
743	39151	13471
744	39202	13418
745	39249	13363
746	39323	13318
747	39383	13268
748	39446	13218
749	39502	13167
750	39555	13115
751	39597	13058
752	39646	13004
753	39705	12954
754	39758	12901
755	39805	12847
756	39861	12795
757	39911	12742
758	39960	12688
759	40012	12635
760	40067	12583
761	40113	12528
762	40157	12473
763	40225	12425
764	40290	12376
765	40345	12324
766	40398	12272
767	40457	12221
768	40502	12166
769	40545	12110
770	40587	12055
771	40648	12005
772	40697	11951
773	40755	11900
774	40809	11847
775	40865	11796
776	40908	11740
777	40958	11687
778	41013	11635
779	41058	11580
780	41116	11529
781	41162	11474
782	41214	11422
783	41265	11369
784	41335	11321
785	41391	11269
786	41439	11215
787	41482	11160
788	41529	11106
789	41589	11055
790	41660	11007
791	41716	10955
792	41771	10903
793	41825	10851
794	41879	10799
795	41920	10743
796	41969	10689
797	42015	10635
798	42073	10584
799	42137	10534
800	42193	10482
801	42243	10429
802	42290	10375
803	42346	10323
804	42396	10269
805	42444	10216
806	42506	10165
807	42551	10111
808	42620	10062
809	42689	10013
810	42736	9959
811	42780	9904
812	42831	9851
813	42903	9803
814	42957	9751
815	43007	9697
816	43053	9643
817	43106	9590
818	43159	9538
819	43222	9487
820	43276	9435
821	43318	9380
822	43389	9331
823	43472	9285
824	43520	9231
825	43567	9177
826	43619	9124
827	43676	9072
828	43749	9024
829	43807	8972
830	43879	8923
831	43929	8870
832	43993	8819
833	44070	8771
834	44127	8719
835	44180	8666
836	44232	8614
837	44277	8559
838	44322	8505
839	44370	8451
840	44424	8398
841	44472	8345
842	44531	8293
843	44575	8239
844	44624	8185
845	44676	8132
846	44718	8077
847	44786	8027
848	44840	7975
849	44893	7922
850	44943	7869
851	44994	7816
852	45049	7763
853	45102	7710
854	45161	7659
855	45220	7607
856	45269	7553
857	45325	7501
858	45382	7449
859	45446	7398
860	45505	7346
861	45560	7293
862	45622	7242
863	45679	7190
864	45734	7137
865	45777	7083
866	45832	7030
867	45881	6977
868	45940	6925
869	45994	6872
870	46046	6819
871	46098	6766
872	46138	6711
873	46201	6660
874	46257	6608
875	46313	6555
876	46354	6501
877	46410	6448
878	46455	6394
879	46516	6343
880	46562	6289
881	46609	6235
882	46668	6183
883	46715	6130
884	46769	6077
885	46822	6024
886	46872	5971
887	46920	5917
888	46965	5864
889	47037	5813
890	47093	5761
891	47150	5708
892	47197	5655
893	47242	5601
894	47300	5549
895	47363	5497
896	47425	5445
897	47472	5392
898	47531	5340
899	47587	5287
900	47636	5234
901	47687	5181
902	47750	5129
903	47803	5076
904	47844	5022
905	47903	4970
906	47958	4917
907	48005	4864
908	48048	4810
909	48100	4757
910	48157	4704
911	48216	4652
912	48285	4601
913	48331	4547
914	48396	4495
915	48461	4444
916	48519	4391
917	48568	4338
918	48615	4284
919	48665	4231
920	48717	4178
921	48771	4125
922	48835	4074
923	48884	4020
924	48938	3967
925	48984	3914
926	49039	3861
927	49102	3809
928	49156	3756
929	49212	3704
930	49282	3652
931	49331	3599
932	49390	3546
933	49445	3493
934	49489	3440
935	49544	3387
936	49588	3334
937	49650	3281
938	49694	3228
939	49764	3176
940	49815	3123
941	49859	3069
942	49926	3017
943	49990	2965
944	50035	2912
945	50080	2858
946	50132	2805
947	50193	2753
948	50244	2700
949	50308	2647
950	50363	2594
951	50421	2542
952	50475	2489
953	50527	2436
954	50583	2383
955	50627	2330
956	50671	2276
957	50722	2223
958	50786	2171
959	50836	2118
960	50885	2065
961	50956	2012
962	51028	1960
963	51065	1907
964	51113	1853
965	51157	1800
966	51197	1747
967	51259	1694
968	51308	1641
969	51353	1588
970	51423	1535
971	51496	1483
972	51540	1430
973	51596	1377
974	51645	1324
975	51694	1271
976	51742	1218
977	51793	1165
978	51860	1112
979	51902	1059
980	51960	1006
981	52024	953
982	52086	900
983	52144	847
984	52210	795
985	52272	742
986	52321	689
987	52366	636
988	52428	583
989	52473	530
990	52528	477
991	52577	424
992	52632	371
993	52691	318
994	52741	265
995	52794	212
996	52847	159
997	52906	106
998	52946	52
999	52998	0
